key,system,case_id,type,difficulty,answer,correct,latency_ms,total_tokens,citation_precision,citation_recall
hybrid_rag:cross-01-gateway-sensor,hybrid_rag,cross-01-gateway-sensor,cross_document,medium,Aster 的视觉网关是 NOVA；Birch 的传感器编号是 S-24。[EVIDENCE:p01-image][EVIDENCE:p02-table],True,2101,622,1.0,1.0
hybrid_rag:cross-01-owner-release,hybrid_rag,cross-01-owner-release,cross_document,easy,Aster 项目的负责人是赵宁；Birch 项目的目标发布时间是 2027 Q2。[EVIDENCE:p01-text][EVIDENCE:p02-text],True,1536,507,1.0,1.0
hybrid_rag:cross-02-gateway-sensor,hybrid_rag,cross-02-gateway-sensor,cross_document,medium,Birch 的视觉网关是 LYRA；Cedar 的传感器编号是 S-31。[EVIDENCE:p02-image][EVIDENCE:p03-table],True,1344,518,1.0,1.0
hybrid_rag:cross-02-owner-release,hybrid_rag,cross-02-owner-release,cross_document,easy,Birch 的负责人是孙悦；Cedar 的目标发布时间是 2027 Q3。[EVIDENCE:p02-text][EVIDENCE:p03-text],True,1437,476,1.0,1.0
hybrid_rag:cross-03-gateway-sensor,hybrid_rag,cross-03-gateway-sensor,cross_document,medium,Cedar 的视觉网关是 VEGA，Dawn 的传感器编号是 S-42。[EVIDENCE:p03-image][EVIDENCE:p04-table],True,904,503,1.0,1.0
hybrid_rag:cross-03-owner-release,hybrid_rag,cross-03-owner-release,cross_document,easy,Cedar 的负责人是周凯；Dawn 的发布时间为 2027 Q4。[EVIDENCE:p03-text][EVIDENCE:p04-text],True,1286,493,1.0,1.0
hybrid_rag:cross-04-gateway-sensor,hybrid_rag,cross-04-gateway-sensor,cross_document,easy,Dawn 的视觉网关为 ORBIT；Ember 的传感器编号为 S-53。[EVIDENCE:p04-image][EVIDENCE:p05-table],True,1732,560,1.0,1.0
hybrid_rag:cross-04-owner-release,hybrid_rag,cross-04-owner-release,cross_document,hard,Dawn 的负责人是李雯；Ember 的目标发布时间是 2028 Q1。[EVIDENCE:p04-text][EVIDENCE:p05-text],True,837,454,1.0,1.0
hybrid_rag:cross-05-gateway-sensor,hybrid_rag,cross-05-gateway-sensor,cross_document,hard,Ember 的视觉网关是 POLAR；Fjord 的传感器编号档案未提供，无法确定。[EVIDENCE:p05-image][EVIDENCE:p06-image],False,1932,689,0.5,0.5
hybrid_rag:cross-05-owner-release,hybrid_rag,cross-05-owner-release,cross_document,medium,Ember 的负责人是陈浩；Fjord 的目标发布时间为 2028 Q2。[EVIDENCE:p05-text][EVIDENCE:p06-text],True,1198,455,1.0,1.0
