case_id,type,difficulty,strategy,recall@1,precision@1,mrr,ndcg@1,recall@3,precision@3,ndcg@3,recall@5,precision@5,ndcg@5
text-01-owner,text,easy,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-01-owner,text,easy,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-01-owner,text,easy,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-01-release,text,medium,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-01-release,text,medium,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-01-release,text,medium,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-01-city,text,hard,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-01-city,text,hard,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-01-city,text,hard,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-01-latency,table,easy,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-01-latency,table,easy,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-01-latency,table,easy,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-01-accuracy,table,medium,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-01-accuracy,table,medium,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-01-accuracy,table,medium,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-01-gateway,image,hard,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-01-gateway,image,hard,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-01-gateway,image,hard,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-01-code,image,easy,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-01-code,image,easy,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-01-code,image,easy,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
equation-01-metric,equation,medium,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
equation-01-metric,equation,medium,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
equation-01-metric,equation,medium,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
equation-01-definition,equation,hard,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
equation-01-definition,equation,hard,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
equation-01-definition,equation,hard,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
cross-01-owner-release,cross_document,easy,bm25,0.5,1.0,1.0,1.0,1.0,0.666667,1.0,1.0,0.4,1.0
cross-01-owner-release,cross_document,easy,dense,0.5,1.0,1.0,1.0,1.0,0.666667,1.0,1.0,0.4,1.0
cross-01-owner-release,cross_document,easy,hybrid_rrf,0.5,1.0,1.0,1.0,1.0,0.666667,1.0,1.0,0.4,1.0
cross-01-gateway-sensor,cross_document,medium,bm25,0.0,0.0,0.5,0.0,1.0,0.666667,0.693426,1.0,0.4,0.693426
cross-01-gateway-sensor,cross_document,medium,dense,0.0,0.0,0.5,0.0,1.0,0.666667,0.693426,1.0,0.4,0.693426
cross-01-gateway-sensor,cross_document,medium,hybrid_rrf,0.0,0.0,0.333333,0.0,0.5,0.333333,0.306574,1.0,0.4,0.570642
refusal-01-budget,refusal,hard,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-01-budget,refusal,hard,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-01-budget,refusal,hard,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-01-vendor,refusal,easy,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-01-vendor,refusal,easy,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-01-vendor,refusal,easy,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-02-owner,text,medium,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-02-owner,text,medium,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-02-owner,text,medium,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-02-release,text,hard,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-02-release,text,hard,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-02-release,text,hard,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-02-latency,table,easy,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-02-latency,table,easy,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-02-latency,table,easy,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-02-accuracy,table,medium,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-02-accuracy,table,medium,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-02-accuracy,table,medium,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-02-gateway,image,hard,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-02-gateway,image,hard,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-02-gateway,image,hard,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
